ID,SampleName,GeothermalField,Location,Country,Reference,Temperature,Li,Na,K,Mg,Ca,Cl,SO4,HCO3
4,Well-9,,Selfoss,Islandia,"Arnorsson, et.al., 1983 II",90,,159.6,4.58,0.15,30.3,246.7,53.5,
6,Well-4,,Laugaland,Islandia,"Arnorsson, et.al., 1983 II",92,,93.7,1.75,0.026,4.56,57.5,90,
18,Well-1,,Varmahlid,Islandia,"Arnorsson, et.al., 1983 II",92,,72.5,2.32,0.05,1.62,25.6,45.9,
9,Well-30,,Reykjavik,Islandia,"Arnorsson, et.al., 1983 II",93,,41.6,1.71,0.075,2.03,18.4,13.6,
425,Husavik,,,Islandia,"Nieva y Nieva, 1987",94,,1110,31.4,0.3,252,,,
78,Bernand #6,,,,"Palandri & Reed, 2001",94,,16250,140,70,380,24000,43,361
248,272,,"Klamath Falls, OR",EU,"Kharaka y Mariner, 1989",95,0.38,230,7.4,0.05,35,,,
416,Arbaer 1,,,Islandia,"Nieva y Nieva, 1987",96,,68.2,1.4,0.05,1.9,,,
16,Well-1,,Laugarbakkar,Islandia,"Arnorsson, et.al., 1983 II",96,,141.4,4.2,0.07,23.7,139.5,144.9,
23,Well-7,,Laugaland,Islandia,"Arnorsson, et.al., 1983 II",97,,51,1.46,0.064,2.88,11.3,38.9,
400,66-7Q,,Kettleman Hills,EU,"Fournier y Potter, 1979",97,,13800,149,88,1700,,,
421,Hellisholt 1,,,Islandia,"Nieva y Nieva, 1987",99,,69.3,1.9,0.18,3.4,,,
401,61-33J,,Kettleman Hills,EU,"Fournier y Potter, 1979",99,,7780,97,18.4,5030,,,
605,88-13,,Reykjadalur,Turquía,"Arnórsson, 1995 II",100,,79,2.02,0.002,1.69,24.8,52.2,
407,889,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",100,3.6,1190,145,0.03,19,1865,11,50
410,280,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",100,3.3,933,126,0.04,3.1,1369,12,210
420,Fludir 4,,,Islandia,"Nieva y Nieva, 1987",100,,74.5,2.7,0.06,0.7,,,
526,SK-2,,San Kampaeng,Tailandia,"Praserdvigai, 1986",100,,151,14.5,0.12,0.7,,40,278
404,680,,Rotorua field,Nueva Zelanda,"Giggenbach y Glover, 1992",100,2.6,532,48,0.12,16,475,60,352
460,Wayang windu W13,,,Indonesia,"Mahon,  2000",100,33,11250,3060,0.6,885,22160,75,
530,GW-5,,Puga,India,"Moon & Dharam, 1988",100,6.3,510,80,1,14,443,133,909
459,Salak W12,,,Indonesia,"Mahon,  2000",100,12.4,3675,876,1,268,6810,20,
533,GW-11,,Puga,India,"Moon & Dharam, 1988",100,6.4,580,60,1.3,4.3,443,119,669
458,Darajat W11,,,Indonesia,"Mahon,  2000",100,1.4,1460,44,4.9,22.5,220,685,
367,Varosliger,,,Hungria,"Fournier y Potter, 1979",100,,170,16,35.5,160,,,
412,Geot. well (target: N1S1),,Nisyros,Grecia,"Kavouridis, et.al., 1999",100,,25290,4300,1950,17640,81500,149,134
457,Kamojang W10,,,Indonesia,"Mahon,  2000",100,0.75,100,10,,,2,290,
397,47-28J,,Kettleman Hills,EU,"Fournier y Potter, 1979",101,,6240,79.4,8,1780,,,
419,Ellidaar G-23,,,Islandia,"Nieva y Nieva, 1987",102,,68.5,3.4,0.03,4.4,,,
713,BGRL(300m),,Beppu Kyushu,Japón,"Kühn, 2004",102,,229,17.9,6.1,5.8,64.6,85,487
81,Old #2,,"Chocolate Bayout, TX",EU,"Palandri & Reed, 2001",102,,14000,90,35,160,19600,59,632
375,Cen. Miss.6,,Mississippi ,EU,"Fournier y Potter, 1979",102,,52400,551,1360,16800,,,
79,Banfield #1,,"Chocolate Bayout, TX",EU,"Palandri & Reed, 2001",103,3.7,16500,120,30,130,23800,25,582
247,18-g-111-80,,"Calistoga, CA",EU,"Murray et al, 1985",104,2.09,205,9,0.5,6,212,,
527,FGTE-5,,San Kampaeng,Tailandia,"Praserdvigai, 1986",105,,110,7.2,0.1,3.2,,39,159
368,Krisuvik 3,,,Islandia,"Fournier y Potter, 1979",105,,136,10.8,1.4,24.6,,,
80,Alibel #1,,,,"Palandri & Reed, 2001",105,,13000,90,25,130,18100,57,556
604,,,Kizilcahamam Ankara,Turquía,"Karul, 1988",105,,670,66,,,243,,
82,"Wilson ""A"" #2",,,,"Palandri & Reed, 2001",106,,12500,100,30,170,19600,59,484
600,,,Ömer-Gecek Afyon,Turquía,"Karul, 1988",106,,1510,116,,,1790,,
508,SH-1,,Izmir,Turquía,"Tarcan, 2003",107,,5360,529,58,693,9450,213,305
12,Well-3,,Baejarsveit,Islandia,"Arnorsson, et.al., 1983 II",109,,105.7,3.74,0.047,10.7,109.9,71.4,
29,Well-2,,Reykhólar,Islandia,"Arnorsson, et.al., 1983 II",109,,58.6,2.12,0.06,2.8,32.5,33,
385,Cen. Miss.26,,Mississippi ,EU,"Fournier y Potter, 1979",109,,53700,750,1640,16800,,,
377,Cen. Miss.10,,Mississippi ,EU,"Fournier y Potter, 1979",109,,52100,519,1660,22200,,,
295,Well TE,,,El Salvador,"Campos, 1988",110,,560,15.8,0.07,116,709,482,38.8
695,La-2,,Aluto-Langano,Etiopía,"Kühn, 2004",110,,89,20,0.2,1,21,6,208
417,Akranes,,,Islandia,"Nieva y Nieva, 1987",110,,1360,17,12,560,,,
532,GW-10,,Puga,India,"Moon & Dharam, 1988",110,6.6,580,80,,4.3,448,118,428
301,VC-1(Va209),,"Valles caldera, New Mex.",EU,"Michard, 1989",111,,872,86,,48.9,945,56.5,
510,B-4,,Balcova,Turquía,"Serpen, 2004",112,,390,31,4.4,29,205,202,610
606,87-40,,Seltjarnarnes,Turquía,"Arnórsson, 1995 II",114,,474,11.2,0.204,560,1458,256,
705,Edna delcombre #1,,"Lafayette, CA",EU,"Kühn, 2004",114,,40000,265,270,1860,67900,220,1050
395,Cen. Miss.43,,Mississippi ,EU,"Fournier y Potter, 1979",114,,53200,635,1880,27300,,,
414,34,,Guanacaste province,Costa Rica,"Giggenbach y Corrales, 1992",115,,22,16,2.1,9,9,43,36
707,ZK1102,,"Tibet, Nagqu",China,"Kühn, 2004",115,,1004,66,6,22.5,248,200,2000
